Year,industry,installations,operational_stock,industry_encoded
2018,Basic metals,1640,9143,Basic metals
2019,Basic metals,1402,10545,Basic metals
2020,Basic metals,1600,12137,Basic metals
2021,Basic metals,2621,14748,Basic metals
1993,Chemical products unspecified,0,0,Chemical products unspecified
1994,Chemical products unspecified,0,0,Chemical products unspecified
1995,Chemical products unspecified,0,0,Chemical products unspecified
1996,Chemical products unspecified,0,0,Chemical products unspecified
1997,Chemical products unspecified,0,0,Chemical products unspecified
1998,Chemical products unspecified,0,0,Chemical products unspecified
1999,Chemical products unspecified,0,0,Chemical products unspecified
2000,Chemical products unspecified,0,0,Chemical products unspecified
2001,Chemical products unspecified,0,0,Chemical products unspecified
2002,Chemical products unspecified,0,0,Chemical products unspecified
2003,Chemical products unspecified,0,0,Chemical products unspecified
2004,Chemical products unspecified,0,0,Chemical products unspecified
2005,Chemical products unspecified,0,0,Chemical products unspecified
2006,Chemical products unspecified,0,0,Chemical products unspecified
2007,Chemical products unspecified,0,0,Chemical products unspecified
2008,Chemical products unspecified,0,0,Chemical products unspecified
2009,Chemical products unspecified,0,0,Chemical products unspecified
2010,Chemical products unspecified,0,0,Chemical products unspecified
2011,Chemical products unspecified,0,0,Chemical products unspecified
2012,Chemical products unspecified,0,0,Chemical products unspecified
2013,Chemical products unspecified,0,0,Chemical products unspecified
2014,Chemical products unspecified,0,0,Chemical products unspecified
2015,Chemical products unspecified,0,0,Chemical products unspecified
2016,Chemical products unspecified,0,0,Chemical products unspecified
2017,Chemical products unspecified,0,0,Chemical products unspecified
2018,Chemical products unspecified,0,0,Chemical products unspecified
2019,Chemical products unspecified,0,0,Chemical products unspecified
2020,Chemical products unspecified,0,0,Chemical products unspecified
2021,Chemical products unspecified,0,0,Chemical products unspecified
1993,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1994,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1995,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1996,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1997,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1998,Computers and peripheral equipment,0,0,Computers and peripheral equipment
1999,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2000,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2001,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2002,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2003,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2004,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2005,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2006,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2007,Computers and peripheral equipment,0,0,Computers and peripheral equipment
2008,Computers and peripheral equipment,16,16,Computers and peripheral equipment
2009,Computers and peripheral equipment,0,16,Computers and peripheral equipment
2010,Computers and peripheral equipment,0,16,Computers and peripheral equipment
2011,Computers and peripheral equipment,28,44,Computers and peripheral equipment
2012,Computers and peripheral equipment,43,87,Computers and peripheral equipment
2013,Computers and peripheral equipment,129,216,Computers and peripheral equipment
2014,Computers and peripheral equipment,34,250,Computers and peripheral equipment
2015,Computers and peripheral equipment,42,292,Computers and peripheral equipment
2016,Computers and peripheral equipment,21,313,Computers and peripheral equipment
2017,Computers and peripheral equipment,33,346,Computers and peripheral equipment
2018,Computers and peripheral equipment,262,608,Computers and peripheral equipment
2019,Computers and peripheral equipment,50,658,Computers and peripheral equipment
2020,Computers and peripheral equipment,168,810,Computers and peripheral equipment
2021,Computers and peripheral equipment,38,848,Computers and peripheral equipment
1993,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1994,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1995,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1996,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1997,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1998,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
1999,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2000,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2001,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2002,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2003,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2004,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2005,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2006,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2007,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2008,Electrical machinery n.e.c. (non-automotive),0,0,Electrical machinery n.e.c. (non-automotive)
2009,Electrical machinery n.e.c. (non-automotive),11,11,Electrical machinery n.e.c. (non-automotive)
2010,Electrical machinery n.e.c. (non-automotive),0,11,Electrical machinery n.e.c. (non-automotive)
2011,Electrical machinery n.e.c. (non-automotive),290,301,Electrical machinery n.e.c. (non-automotive)
2012,Electrical machinery n.e.c. (non-automotive),225,526,Electrical machinery n.e.c. (non-automotive)
2013,Electrical machinery n.e.c. (non-automotive),252,778,Electrical machinery n.e.c. (non-automotive)
2014,Electrical machinery n.e.c. (non-automotive),228,1006,Electrical machinery n.e.c. (non-automotive)
2015,Electrical machinery n.e.c. (non-automotive),276,1282,Electrical machinery n.e.c. (non-automotive)
2016,Electrical machinery n.e.c. (non-automotive),1562,2844,Electrical machinery n.e.c. (non-automotive)
2017,Electrical machinery n.e.c. (non-automotive),316,3160,Electrical machinery n.e.c. (non-automotive)
2018,Electrical machinery n.e.c. (non-automotive),645,3805,Electrical machinery n.e.c. (non-automotive)
2019,Electrical machinery n.e.c. (non-automotive),500,4305,Electrical machinery n.e.c. (non-automotive)
2020,Electrical machinery n.e.c. (non-automotive),487,4792,Electrical machinery n.e.c. (non-automotive)
2021,Electrical machinery n.e.c. (non-automotive),598,5379,Electrical machinery n.e.c. (non-automotive)
1993,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1994,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1995,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1996,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1997,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1998,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
1999,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2000,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2001,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2002,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2003,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2004,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2005,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2006,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2007,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2008,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2009,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2010,Electrical/electronic (AutoParts),0,0,Electrical/electronic (AutoParts)
2011,Electrical/electronic (AutoParts),390,390,Electrical/electronic (AutoParts)
2012,Electrical/electronic (AutoParts),318,708,Electrical/electronic (AutoParts)
2013,Electrical/electronic (AutoParts),362,1070,Electrical/electronic (AutoParts)
2014,Electrical/electronic (AutoParts),417,1487,Electrical/electronic (AutoParts)
2015,Electrical/electronic (AutoParts),470,1957,Electrical/electronic (AutoParts)
2016,Electrical/electronic (AutoParts),705,2662,Electrical/electronic (AutoParts)
2017,Electrical/electronic (AutoParts),544,3206,Electrical/electronic (AutoParts)
2018,Electrical/electronic (AutoParts),650,3856,Electrical/electronic (AutoParts)
2019,Electrical/electronic (AutoParts),609,4465,Electrical/electronic (AutoParts)
2020,Electrical/electronic (AutoParts),493,4958,Electrical/electronic (AutoParts)
2021,Electrical/electronic (AutoParts),386,5344,Electrical/electronic (AutoParts)
1993,Electrical/electronics,0,0,Electrical/electronics
1994,Electrical/electronics,0,0,Electrical/electronics
1995,Electrical/electronics,0,0,Electrical/electronics
1996,Electrical/electronics,0,0,Electrical/electronics
1997,Electrical/electronics,0,0,Electrical/electronics
1998,Electrical/electronics,0,0,Electrical/electronics
1999,Electrical/electronics,0,0,Electrical/electronics
2000,Electrical/electronics,0,0,Electrical/electronics
2001,Electrical/electronics,0,0,Electrical/electronics
2002,Electrical/electronics,0,0,Electrical/electronics
2003,Electrical/electronics,0,0,Electrical/electronics
2004,Electrical/electronics,1307,1307,Electrical/electronics
2005,Electrical/electronics,1760,3067,Electrical/electronics
2006,Electrical/electronics,3552,6619,Electrical/electronics
2007,Electrical/electronics,3219,9838,Electrical/electronics
2008,Electrical/electronics,2151,11989,Electrical/electronics
2009,Electrical/electronics,1090,13079,Electrical/electronics
2010,Electrical/electronics,3555,16634,Electrical/electronics
2011,Electrical/electronics,3727,20361,Electrical/electronics
2012,Electrical/electronics,2980,23341,Electrical/electronics
2013,Electrical/electronics,3328,26669,Electrical/electronics
2014,Electrical/electronics,4270,30939,Electrical/electronics
2015,Electrical/electronics,6038,36977,Electrical/electronics
2016,Electrical/electronics,6420,42090,Electrical/electronics
2017,Electrical/electronics,6576,46906,Electrical/electronics
2018,Electrical/electronics,5284,48670,Electrical/electronics
2019,Electrical/electronics,3460,48911,Electrical/electronics
2020,Electrical/electronics,3710,50470,Electrical/electronics
2021,Electrical/electronics,2857,52237,Electrical/electronics
1993,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1994,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1995,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1996,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1997,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1998,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
1999,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
2000,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
2001,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
2002,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
2003,Electrical/electronics unspecified,0,0,Electrical/electronics unspecified
2004,Electrical/electronics unspecified,1307,1307,Electrical/electronics unspecified
2005,Electrical/electronics unspecified,1760,3067,Electrical/electronics unspecified
2006,Electrical/electronics unspecified,3552,6619,Electrical/electronics unspecified
2007,Electrical/electronics unspecified,3216,9835,Electrical/electronics unspecified
2008,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
2009,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
2010,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
